Geneid,N1,N2,T1,T2,T3,T4
ACIN1,35,120,95,617,93,139
ACKR1,0,0,3,1668,0,6
ACKR2,4,0,31,22,19,64
ACKR3,0,10,5,0,0,2
ACKR4,0,13,25,17,27,23
ACLY,6,2,5,2,7,3
ACLY_1,0,0,0,0,0,1
ACMSD,3,0,19,15,21,19
ACO1,28,102,83,60,93,91
ACO2,0,12,17,16,17,59
ACOD1,0,0,14,24,8,18
ACOT1,28,0,25,0,0,47
ACOT11,0,106,74,56,74,65
ACOT12,0,0,18,10,23,5
ACOT13,0,1,20,24,29,20
ACOT2,9,43,51,5,30,40
ACOT4,0,0,10,6,9,6
ACOT6,0,0,7,11,17,13
ACOT7,0,0,26,21,17,42
ACOT8,45,0,5,7,7,19
ACOT9,53,642,52,487,94,64
ACOX1,65,23,108,52,96,94
ACOX2,6,5,31,1,19,57
ACOX3,0,31,38,13,11,44
ACOXL,0,56,77,14,45,53
ACOXL-AS1,0,0,16,10,2,24
ACP1,0,4,22,19,27,21
ACP2,12,1,20,13,5,50
ACP3,35,0,19,16,18,29
ACP4,48,2,30,12,29,39
ACP5,0,0,33,6,34,51
ACP6,0,5,19,7,23,4
ACP6_1,0,0,2,0,2,0
ACP7,0,0,44,8,45,76
ACR,0,0,5,0,2,29
ACRBP,0,2,25,10,24,48
ACRV1,26,0,11,0,9,22
ACSBG1,65,5,53,14,22,46
ACSBG2,22,0,69,44,60,60
ACSF2,31,55,19,39,1,29
ACSF3,5,0,13,36,7,32
ACSL1,4,19,44,35,58,69
ACSL3,115,43,48,71,57,55
ACSL4,31,68,52,41,36,45
ACSL5,5,37,67,31,85,85
ACSL6,105,11,77,44,56,86
ACSM1,30,9,32,18,18,36
ACSM2A,0,109,60,22,75,34
ACSM2B,100,24,61,56,52,52
ACSM3,33,21,13,14,12,11
ACSM4,0,0,35,20,35,45
ACSM5,9,23,38,27,58,48
ACSM6,0,2,19,0,17,15
ACSS1,34,13,22,27,12,37
ACSS2,0,5,29,166,7,50
ACSS3,31,10,11,6,9,17
ACTA1,0,0,17,17,3,24
ACTA2,0,0,7,17,4,11
ACTA2-AS1,16,0,0,5,0,7
ACTB,50,54,41,585,41,253
ACTBL2,0,0,5,0,0,5
ACTC1,0,0,24,8,6,32
ACTE1P,0,40,32,11,45,32
ACTG1,0,3,0,5,0,11
ACTG1P17,23,37,9,20,32,17
ACTG1P20,0,1,2,8,6,20
ACTG1P25,0,0,27,12,28,10
ACTG1P4,0,0,2,2,3,4
ACTG2,50,18,29,50,28,51
ACTL10,0,23,3,8,0,4
ACTL6A,46,38,23,3,57,24
ACTL6B,0,0,63,41,30,96
ACTL7A,0,0,3,2,0,7
ACTL7B,0,0,3,0,1,18
ACTL8,0,0,16,36,19,16
ACTL9,0,0,6,3,0,6
ACTL9_1,0,0,6,0,0,0
ACTN1,28,36,46,101,50,100
ACTN1-AS1,0,0,6,4,8,3
ACTN2,39,14,64,70,44,76
ACTN3,68,0,90,19,32,81
ACTN4,0,89,49,1643,39,105
ACTR10,53,0,27,19,38,35
ACTR1A,0,7,16,58,14,48
ACTR1B,0,0,8,10,2,50
ACTR2,0,12,16,20,14,46
ACTR3,46,109,85,39,69,106
ACTR3-AS1,0,70,20,21,42,37
ACTR3B,43,37,51,36,46,46
ACTR3BP2,0,0,28,10,13,31
ACTR3BP5,34,5,22,57,29,31
ACTR3C,23,99,102,74,110,93
ACTR5,0,24,15,26,30,36
ACTR6,0,4,14,11,18,21
ACTR8,0,0,4,16,27,18
ACTRT1,0,0,8,8,4,6
ACTRT2,0,0,3,0,0,11
ACTRT3,0,0,8,0,7,0
ACVR1,46,0,62,28,66,50
ACVR1B,27,4,56,38,62,40
ACVR1C,44,24,45,33,41,19
ACVR2A,8,16,42,18,38,37
ACVR2B,64,20,42,109,37,99
ACVR2B-AS1,0,3,14,5,11,24
ACVRL1,47,44,54,49,22,31
ACY1,0,0,8,0,14,4
ACY3,0,10,6,0,2,17
ACYP1,0,29,14,8,22,11
ACYP2,6,0,19,15,28,18
ADA,0,0,9,15,9,20
ADA2,0,59,48,100,91,98
ADAD1,70,0,18,20,24,38
ADAD2,2,0,14,14,3,14
ADAL,32,42,41,89,40,35
ADAM10,142,79,116,167,121,103
ADAM11,2,13,80,25,31,139
ADAM12,5,41,29,72,66,76
ADAM15,61,7,21,104,8,37
ADAM17,53,17,47,18,56,80
ADAM18,0,18,19,30,13,25
ADAM19,30,57,78,81,134,133
ADAM2,0,32,26,15,35,14
ADAM20,0,13,17,1,22,20
ADAM20P1,5,0,25,5,16,21
ADAM21,13,17,6,1,11,14
ADAM21P1,0,0,0,0,0,4
ADAM22,9,41,107,42,123,94
ADAM23,10,1,22,8,19,34
ADAM28,0,10,33,29,50,50
ADAM29,0,6,19,8,25,14
ADAM30,0,2,26,7,9,12
ADAM32,44,18,63,57,90,76
