Geneid,N1,N2,T1,T2,T3,T4
CHST15,40,23,24,4,41,45
CHST2,0,0,12,15,2,20
CHST3,0,38,26,15,53,43
CHST4,8,0,11,13,7,33
CHST5,0,0,39,18,48,82
CHST6,39,0,28,22,29,50
CHST7,0,26,8,8,0,31
CHST8,0,0,21,7,11,39
CHST9,1,48,14,28,27,12
CHSY1,46,51,34,13,25,60
CHSY3,0,26,17,31,12,45
CHTF18,0,18,13,3,11,31
CHTOP,0,40,46,26,66,38
CHUK,0,1,46,31,63,26
CHURC1,48,2,45,24,43,48
CHURC1-FNTB,0,0,0,0,0,2
CIAO1,15,41,43,107,56,58
CIAO2A,0,24,21,11,25,22
CIAO2B,6,0,0,43,10,8
CIAO3,0,9,10,31,13,74
CIAPIN1,15,17,19,11,15,24
CIART,0,0,5,0,0,0
CIART_1,0,0,0,0,0,2
CIB1,0,9,29,99,3,63
CIB2,0,4,22,71,15,32
CIB3,43,18,53,16,36,51
CIB4,14,0,10,3,2,16
CIBAR1,0,43,7,4,4,16
CIBAR1P2,82,11,15,8,50,19
CIBAR2,24,0,27,8,18,14
CIC,0,74,28,42,7,92
CIDEA,0,26,20,44,13,19
CIDEB,0,0,1,0,0,0
CIDEC,0,23,19,58,14,46
CIDECP1,0,0,18,0,15,22
CIITA,46,83,90,91,73,142
CILK1,44,28,43,42,40,47
CILP,2,14,26,7,23,63
CILP2,59,0,32,21,12,56
CINP,0,11,34,49,20,18
CIP2A,38,0,30,39,30,29
CIPC,0,20,33,20,40,47
CIR1,30,47,39,150,45,37
CIRBP,12,324,87,1363,137,120
CIRBP-AS1,0,0,0,6,2,1
CISD1,21,0,23,29,17,14
CISD2,48,18,22,22,6,24
CISD3,0,13,12,3,2,6
CISH,0,0,2,9,0,4
CISTR,0,17,10,2,1,13
CIT,48,85,140,99,273,217
CITED1,13,8,7,2,10,11
CITED2,58,24,0,4,10,33
CITED4,19,0,9,21,2,117
CIZ1,101,16,104,50,24,129
CKAP2,35,22,41,19,29,51
CKAP2L,0,0,21,11,21,34
CKAP4,0,11,19,97,18,34
CKAP5,0,2,97,30,67,94
CKB,0,0,6,30,0,9
CKLF,0,0,2,0,0,1
CKM,38,2,54,28,50,88
CKMT1A,0,0,31,13,18,15
CKMT1B,0,11,19,4,15,10
CKMT2,7,0,11,31,19,11
CKMT2-AS1,35,30,25,58,44,44
CKS1B,0,8,4,5,11,3
CKS2,0,9,0,0,0,0
CLASP1,1,16,94,56,57,84
CLASP2,154,126,149,77,160,137
CLASRP,91,51,71,81,45,134
CLBA1,0,3,11,0,6,22
CLC,0,0,3,11,12,10
CLCA1,0,0,14,0,5,23
CLCA2,14,25,19,19,9,14
CLCA3P,46,18,28,13,13,26
CLCA4,54,0,4,0,2,8
CLCA4-AS1,0,0,2,3,2,0
CLCC1,0,41,27,25,17,42
CLCF1,14,4,51,22,37,53
CLCN1,0,9,76,49,31,82
CLCN2,27,0,14,8,17,24
CLCN3,43,44,54,51,49,47
CLCN4,39,46,30,46,42,65
CLCN5,0,1,6,1,2,4
CLCN5_1,0,0,4,0,0,11
CLCN6,15,81,81,38,58,77
CLCN7,33,78,50,47,13,213
CLCNKA,1,29,16,1,2,26
CLCNKB,16,0,3,1,1,25
CLDN1,0,0,0,5,4,17
CLDN10,19,0,2,6,0,13
CLDN10-AS1,0,0,14,0,12,36
CLDN11,0,34,26,35,17,33
CLDN12,6,0,13,12,8,17
CLDN14,0,0,17,27,2,25
CLDN15,20,0,43,25,19,44
CLDN16,27,3,18,15,17,9
CLDN17,0,7,0,0,2,3
CLDN18,43,10,34,16,22,17
CLDN19,23,18,28,5,5,54
CLDN2,0,0,17,52,45,37
CLDN20,0,0,29,14,13,14
CLDN23,0,0,19,10,3,10
CLDN24,0,0,1,0,4,9
CLDN25,0,0,0,0,0,11
CLDN34,0,0,9,0,5,4
CLDN5,0,48,19,1321,0,19
CLDN6,0,0,8,9,0,15
CLDN7,0,17,15,0,1,13
CLDN8,0,3,7,12,0,2
CLDN9,0,0,5,0,3,14
CLDND1,0,0,1,0,4,17
CLDND2,0,0,3,16,2,33
CLEC10A,0,24,44,8,24,31
CLEC11A,22,84,7,366,0,85
CLEC12A,0,0,6,3,22,3
CLEC12A-AS1,39,54,19,20,31,24
CLEC12B,0,0,3,0,0,3
CLEC14A,0,18,12,22,10,25
CLEC16A,19,41,87,32,98,95
CLEC17A,0,22,53,31,68,64
CLEC18A,0,0,14,3,11,16
CLEC18B,5,0,69,28,47,127
CLEC18C,27,1,20,8,10,13
CLEC19A,50,24,39,31,86,28
CLEC1A,0,0,12,12,5,21
CLEC1B,0,30,7,14,20,30
CLEC2A,0,8,19,12,38,13
CLEC2B,77,12,14,11,26,18
CLEC2D,37,41,93,45,53,49
CLEC2L,0,9,20,9,10,8
CLEC3A,0,0,12,14,5,22
CLEC3B,0,0,7,172,0,5
CLEC4A,0,23,3,2,10,10
CLEC4C,39,52,43,21,37,35
CLEC4D,26,0,14,0,11,11
CLEC4E,0,7,7,6,26,21
CLEC4F_1,0,0,0,0,1,1
CLEC4G,37,0,21,13,2,37
CLEC4GP1,0,0,33,37,18,26
CLEC4M,0,0,17,9,28,37
CLEC4O,0,0,15,0,7,8
CLEC5A_1,0,1,3,1,0,0
CLEC6A,0,4,21,24,10,20
CLEC7A,50,9,65,34,82,54
CLEC9A,0,0,13,3,2,5
CLECL1,15,0,29,15,28,5
CLGN,0,0,25,27,19,16
CLHC1,41,35,78,33,62,53
CLIC1,0,0,0,1,0,1
CLIC1_2,0,0,0,0,1,0
CLIC1_3,0,0,0,0,0,1
CLIC1_5,0,0,3,0,6,0
CLIC1_6,0,0,1,0,0,1
CLIC2,0,0,0,0,1,3
CLIC2_1,11,0,0,0,1,0
CLIC3,0,0,11,23,4,3
CLIC4,0,0,9,9,11,29
CLIC5,3,0,20,42,24,64
CLIC6,8,0,14,8,5,41
CLINT1,31,81,58,73,64,75
CLIP1,1,51,105,150,77,123
CLIP1-AS1,0,10,12,24,16,22
CLIP2,0,1,3,3,0,5
CLIP2_1,0,0,0,0,1,0
CLIP3,31,7,75,49,14,101
CLIP4,0,30,30,16,38,36
CLK1,0,30,70,34,105,62
CLK2_1,0,2,0,0,1,0
CLK2P1,23,0,15,1,4,25
CLK3,27,12,13,24,10,31
CLK4,33,0,37,11,38,24
CLLU1,0,0,10,8,15,13
CLLU1-AS1,5,0,5,0,8,9
CLMAT3,19,16,28,4,6,14
CLMN,30,46,170,104,197,123
CLMP,11,61,33,50,31,26
CLN3,26,60,125,105,75,156
CLN5,25,35,32,25,52,38
CLN6,17,11,10,28,2,62
CLN8,0,151,37,131,37,70
CLNK,81,39,110,60,100,81
CLNS1A,35,62,18,18,45,37
CLOCK,48,26,87,146,94,72
CLP1,38,10,13,4,4,19
CLPB,94,67,88,46,101,79
CLPP,20,7,53,31,34,51
CLPS,17,0,21,13,31,6
CLPSL1,0,8,34,2,49,18
CLPSL2,0,0,0,0,4,20
CLPTM1,63,23,64,39,27,106
CLPTM1L,27,0,5,24,11,85
CLPX,33,42,63,48,65,79
CLRN1,5,55,31,2,28,32
CLRN1-AS1,13,9,36,17,27,10
CLRN2,0,0,13,6,7,13
CLRN3,0,0,0,6,0,1
CLSPN,25,67,138,87,132,81
CLSTN1,147,96,62,79,83,162
CLSTN2,90,32,60,64,48,118
CLSTN2-AS1,12,0,6,0,2,12
CLSTN3,8,33,67,109,62,74
CLTA,0,25,20,37,16,41
CLTB,181,0,29,171,27,78
CLTC,59,30,77,52,43,145
CLTCL1_1,1,0,1,0,0,4
CLTRN,0,19,7,7,0,4
CLU,118,85,30,1246,23,92
CLUAP1,68,99,62,81,73,65
CLUH,27,9,78,122,9,102
CLUHP3,0,4,18,13,41,51
CLUL1,50,4,24,11,13,15
CLVS1,0,5,5,11,2,5
CLVS2,12,16,21,3,8,18
CLYBL,45,0,32,22,13,27
CLYBL-AS1,0,0,16,15,18,14
CLYBL-AS2,0,0,1,0,3,1
CMA1,0,0,2,4,10,10
CMAHP,0,0,8,10,1,10
CMAS,10,24,33,13,23,22
CMBL,38,20,14,55,35,22
CMC1,0,0,13,14,7,26
CMC2,74,47,82,77,117,101
CMC4_1,1,0,0,0,1,0
CMIP,17,41,66,79,60,62
CMKLR1,23,1,22,172,26,42
CMPK1,72,48,51,1,31,47
CMPK2,0,0,5,5,4,7
CMSS1,0,15,13,62,30,25
CMTM1,0,31,17,4,25,24
CMTM2,0,0,7,12,4,7
CMTM3,0,11,18,39,2,20
CMTM4,85,19,22,27,10,32
CMTM5,0,13,1,2,0,3
CMTM6,0,13,22,50,23,49
CMTM7,0,0,10,11,13,32
CMTM8,0,0,13,4,4,14
CMTR1,84,28,23,30,29,89
CMTR2,34,0,14,1,34,21
CMYA5,40,10,30,34,29,50
CNBD1,0,0,9,6,12,5
CNBD2,19,38,81,52,74,96
CNBP,28,110,41,30,55,64
CNDP1,6,54,28,3,18,22
CNDP2,135,61,30,4,33,43
CNEP1R1,0,16,30,8,21,18
CNFN,0,0,22,10,20,39
CNGA1,47,30,58,63,85,65
CNGA2,13,0,2,1,0,10
CNGA3,0,12,26,27,13,26
CNGA4,0,2,4,10,2,25
CNGB1,43,55,101,64,108,156
CNGB3,49,56,47,18,42,15
CNIH1,6,4,7,23,21,25
CNIH2,0,0,0,2,1,4
CNIH3,36,19,54,45,55,41
CNIH4,21,13,21,22,27,35
CNKSR1,17,29,36,40,61,93
CNKSR2,48,44,53,19,73,33
CNKSR3,173,311,178,143,183,163
CNMD,20,9,18,19,34,32
CNN1,50,14,61,40,27,37
CNN2,15,113,33,107,49,70
CNN3,24,41,54,29,59,37
CNN3-DT,10,31,12,4,15,7
CNNM1,0,47,61,30,37,65
CNNM2,56,22,45,38,50,83
CNNM3,0,48,50,91,51,47
CNNM3-DT,0,0,1,0,0,2
CNNM4,40,0,35,14,7,47
CNOT1,38,132,173,95,218,199
CNOT10,56,53,34,24,50,68
CNOT11,0,49,27,7,23,39
CNOT2,38,37,39,94,49,66
CNOT3_1,0,0,2,0,0,13
CNOT4,40,39,79,104,118,79
CNOT6,0,64,107,70,61,92
CNOT6L,111,129,74,114,94,114
CNOT7,1,153,115,98,144,121
CNOT8,0,12,32,6,60,59
CNOT9,45,10,60,34,83,62
CNP_1,0,1,1,3,4,1
CNPPD1,0,15,29,51,34,68
CNPY1,20,12,27,35,42,35
CNPY2,34,5,26,24,40,49
CNPY3,31,51,33,246,20,90
CNPY4,9,0,33,21,18,12
CNR1,57,25,33,12,9,19
CNR2,0,17,38,34,29,40
CNRIP1,7,4,28,29,10,23
CNST,21,45,43,19,37,67
CNTD1,8,0,20,5,27,33
CNTFR,46,9,13,16,2,23
CNTFR-AS1,0,17,5,0,6,8
CNTLN,57,75,53,97,65,97
CNTN1,9,3,20,24,28,26
CNTN2,0,12,54,4,19,85
CNTN3,52,20,35,33,17,18
CNTN4,0,1,43,54,34,49
CNTN4-AS1,2,13,24,22,23,10
CNTN4-AS2,0,0,1,0,2,1
CNTN5,36,0,24,8,15,42
CNTN6,29,39,40,13,50,34
CNTNAP1,12,11,91,79,69,115
CNTNAP2,5,93,113,55,125,81
CNTNAP2-AS1,0,11,12,6,12,3
CNTNAP3,59,46,45,21,88,74
CNTNAP3B,2,0,2,2,0,4
CNTNAP3P2,0,1,6,2,2,7
CNTNAP4,102,28,51,45,52,48
CNTNAP5,65,79,99,88,100,112
CNTRL,92,60,58,81,76,79
CNTROB,33,6,46,47,12,70
COA1,0,44,29,39,68,52
COA3,22,28,4,14,0,20
COA4,0,0,4,0,16,16
COA5,0,0,7,0,13,6
COA6,0,0,8,9,30,23
COA6-AS1,0,0,0,0,0,3
COA7,48,31,17,34,17,25
COA8,16,26,43,39,38,45
COASY,0,0,11,14,7,16
COBL,44,30,41,27,23,65
COBLL1,64,32,33,43,44,45
COCH,22,2,6,13,2,20
COG1,0,10,24,22,14,24
COG2,20,11,21,14,31,48
COG3,0,22,49,42,58,73
COG4,37,30,68,26,53,100
COG5,18,55,79,54,93,63
COG6,39,38,40,43,37,49
COG7,0,22,77,28,108,104
COG8,0,22,30,16,19,32
COIL,55,55,66,75,58,64
COL10A1,29,39,21,28,27,15
COL11A1,122,117,141,114,147,103
COL11A2,0,0,2,0,0,0
COL11A2_1,0,0,0,0,2,0
COL11A2_2,0,2,0,0,0,0
COL11A2_3,1,0,0,0,0,0
COL12A1,107,98,79,42,94,80
COL13A1,44,83,67,37,103,94
COL14A1,140,69,131,75,65,90
COL15A1,41,12,46,50,53,90
COL16A1,147,20,117,133,51,107
COL17A1,53,0,56,30,35,106
COL18A1,36,45,37,125,9,92
COL18A1-AS1,9,0,16,3,3,18
COL18A1-AS2,0,0,4,0,0,3
COL19A1,66,72,131,95,143,108
COL1A1,145,96,61,2564,98,119
COL1A2,85,63,79,464,109,96
COL1A2-AS1,0,0,0,0,15,3
COL20A1,77,0,28,4,13,92
COL21A1,31,12,36,50,57,51
COL22A1,35,42,102,66,156,161
COL23A1,68,6,71,13,43,167
COL24A1,124,54,133,111,123,109
COL25A1,106,39,124,78,143,78
COL25A1-DT,0,0,3,14,4,13
COL26A1,0,0,40,25,36,58
COL27A1,63,36,60,88,49,161
COL28A1,26,3,44,19,31,29
COL2A1,40,55,71,63,60,72
COL3A1,58,35,21,288,77,14
COL4A1,13,78,31,59,68,69
COL4A2,88,105,50,193,52,108
COL4A2-AS1,0,0,0,8,2,5
COL4A2-AS2,27,19,0,10,3,9
COL4A3,92,49,97,91,78,85
COL4A4,173,145,160,90,133,175
COL4A5,52,68,116,104,168,75
COL4A6,84,29,32,18,35,45
COL5A1,30,40,66,106,60,95
COL5A1-AS1,0,0,0,0,1,3
COL5A2,25,72,102,92,78,50
COL5A3,72,38,211,152,149,272
COL6A1,55,66,9,885,0,57
COL6A2,0,432,9,10311,0,64
COL6A3,105,104,64,376,49,76
COL6A4P1,64,0,3,13,0,4
COL6A4P2,119,8,74,24,58,53
COL6A5,65,61,81,23,51,33
COL6A6,54,15,85,41,79,108
COL7A1,63,53,58,25,7,149
COL8A1,45,38,32,63,60,27
COL8A2,0,55,17,3,7,51
COL9A1,53,45,111,36,120,92
COL9A2,78,16,87,55,44,273
COL9A3,0,16,10,20,14,29
COLCA1,26,24,61,16,42,52
COLCA2,0,3,12,0,0,9
COLEC10,19,14,30,10,41,19
COLEC11,0,0,12,0,11,32
COLEC12,17,96,70,447,59,60
COLGALT1,0,33,81,107,44,124
COLGALT2,92,15,27,17,56,66
COLQ,65,0,32,7,15,68
COMETT,16,0,28,25,42,23
COMMD1,38,47,45,72,47,58
COMMD10,9,32,103,67,43,45
COMMD2,28,21,6,10,6,19
COMMD3,0,16,6,5,9,1
COMMD4,103,39,35,37,43,67
COMMD4P1,41,0,19,39,8,51
COMMD4P2,0,0,9,0,1,2
COMMD5,0,0,20,0,8,40
COMMD6,24,3,11,38,13,17
COMMD7,0,5,57,52,72,37
COMMD8,0,1,5,0,5,7
COMMD9,0,33,13,4,24,43
COMP,0,6,75,118,36,58
COMT,111,0,7,56,11,31
COMTD1,0,35,26,38,7,30
COP1,62,13,73,44,67,56
COPA,158,240,124,419,107,135
COPB1,28,66,42,55,60,72
COPB2,4,14,27,49,53,23
COPE,0,27,15,45,19,86
COPG1,2,0,67,44,59,117
COPG2,0,0,7,4,5,3
COPG2_1,0,3,44,26,25,23
COPG2IT1,0,0,9,2,0,4
COPRS,0,17,8,19,6,23
COPS2,31,53,28,24,23,50
COPS3,11,0,28,39,42,35
COPS4,23,32,33,8,45,34
COPS5,18,0,14,14,35,28
COPS6,27,0,36,88,15,28
COPS7A,0,2,17,4,11,24
COPS7B,8,32,44,26,12,58
COPS8,0,18,16,0,23,23
COPS9,42,0,1,6,0,4
COPZ1,41,30,45,37,24,31
COPZ2,27,7,27,21,4,26
COQ10A,0,0,10,0,0,28
COQ10B,34,23,49,22,64,45
COQ2,0,11,14,15,23,35
COQ3,0,28,30,41,40,8
COQ4,0,10,21,51,32,9
COQ5,6,0,32,14,60,36
COQ6,0,0,40,24,16,41
COQ7,8,71,41,115,67,67
COQ8A,0,0,18,47,5,34
COQ8B,30,0,51,23,30,60
COQ9,55,9,15,24,8,34
CORIN,1,15,51,48,43,55
CORO1A,0,0,18,15,1,50
CORO1B,19,0,41,60,12,48
CORO1C,47,16,71,35,94,107
CORO2A,16,32,72,153,75,88
CORO2B,16,41,44,28,35,75
CORO6,26,56,2,4,2,36
CORO7,0,0,27,44,7,15
CORT,0,0,2,8,0,13
COSMOC,0,0,5,0,0,1
COTL1,60,28,19,17,21,60
COX10,0,2,32,18,22,46
COX10-AS1,0,4,15,6,16,27
COX11,0,0,26,22,40,19
COX14,0,0,14,17,8,25
COX15,19,55,55,36,64,64
COX16,0,10,2,16,9,5
COX17,43,0,22,10,23,17
COX18,75,33,32,65,58,48
COX19,0,10,63,51,60,71
COX20,25,50,15,58,34,34
COX4I1,30,17,7,192,3,35
COX4I2,0,12,57,267,13,48
COX5A,0,27,7,11,10,47
COX5B,17,10,25,10,64,41
COX6A1,0,16,26,6,22,36
COX6A2,0,6,9,0,0,2
COX6B1,3,22,28,177,48,41
COX6B2,0,22,40,1,20,42
COX6C,31,0,9,12,5,7
COX7A1,95,0,21,72,6,9
COX7A2,0,0,16,43,37,30
COX7A2L,0,5,22,36,46,41
COX7B,0,12,2,1,5,2
COX7B2,0,0,4,0,13,8
COX7C,57,27,30,0,18,21
COX8A,0,0,7,57,16,25
COX8C,0,0,3,0,0,5
CP,48,99,63,34,60,52
CPA2,0,0,32,0,19,34
CPA3,0,11,7,0,13,18
CPA4,6,19,41,23,19,50
CPA5,0,0,5,0,1,1
CPA6,20,19,31,16,24,11
CPAMD8,37,10,157,64,124,192
CPB1,0,0,23,18,26,15
CPB2,0,0,15,1,19,12
CPB2-AS1,2,35,37,30,45,34
CPD,167,96,41,50,63,84
CPE,0,5,28,55,31,31
CPEB1,74,41,61,56,51,62
CPEB1-AS1,13,0,12,5,7,11
CPEB2,0,104,69,88,75,67
CPEB2-DT,17,0,9,28,0,17
CPEB3,22,115,105,112,85,68
CPEB4,66,50,88,221,108,125
CPED1,3,16,55,44,55,49
CPHXL,0,17,27,5,18,11
CPLANE1,61,45,162,145,210,148
CPLANE2,10,0,32,36,12,34
CPLX1,0,0,9,1,1,14
CPLX2,43,20,9,5,3,30
CPLX3,13,0,18,0,8,22
CPLX4,0,0,22,36,37,18
CPM,47,46,93,216,111,90
CPN1,0,5,35,3,29,28
CPN2,29,0,1,0,0,8
CPNE1,13,85,35,50,20,50
CPNE2,0,20,20,14,21,52
CPNE3,31,14,51,35,51,42
CPNE4,0,0,43,6,37,42
CPNE5,0,0,41,19,14,52
CPNE6,25,2,9,18,2,29
CPNE7,0,0,24,11,18,45
CPNE8,0,3,19,17,21,18
CPNE9,0,12,39,57,44,59
CPO,24,0,9,4,20,27
CPOX,42,0,27,17,53,18
CPPED1,0,51,26,33,15,31
CPQ,46,0,18,8,9,32
CPS1,79,54,54,82,103,46
CPS1-IT1,10,0,3,0,0,4
CPSF1,0,0,0,0,0,9
CPSF1_1,0,0,5,0,0,6
CPSF2,110,104,115,122,183,95
CPSF3,5,39,21,49,32,43
CPSF4,57,0,25,47,22,55
CPSF4L,0,0,9,13,24,23
CPSF6,15,104,95,46,102,66
CPSF7,39,0,18,6,16,37
CPT1A,177,4580,77,7521,91,121
CPT1B,0,0,0,0,0,5
CPT1C,8,33,104,38,77,149
CPT2,0,20,34,59,66,40
CPTP,0,0,7,23,1,29
CPVL,41,67,69,44,131,58
CPXCR1,0,0,1,0,0,0
CPXM1,37,23,20,77,19,55
CPXM2,0,39,63,36,44,49
CPZ,0,10,13,31,3,18
CR1,23,25,48,6,78,60
CR1L,0,33,7,0,19,18
CR2,23,25,24,15,20,12
CRABP1,0,0,0,0,9,16
CRABP2,0,0,9,19,4,20
CRACD,0,26,57,41,37,52
CRACDL,46,8,22,11,7,29
CRACR2A,46,0,23,3,9,45
CRACR2B,0,0,7,29,0,16
CRADD,0,19,36,11,64,30
CRAMP1,8,43,20,32,18,104
CRAT,19,12,61,23,41,75
CRAT37,30,21,23,2,17,25
CRB1,0,0,24,11,26,26
CRB2,66,17,51,9,16,66
CRB3,0,0,27,7,14,38
CRBN,0,39,12,18,10,17
CRCP,0,30,76,38,88,65
CRCT1,0,0,0,0,1,2
CREB1,0,42,68,89,44,57
CREB3,0,0,41,40,34,38
CREB3L1,0,17,45,40,39,67
CREB3L2,102,89,113,54,114,121
CREB3L2-AS1,22,0,5,0,3,5
CREB3L3,90,0,32,10,48,47
CREB3L4,0,0,18,0,12,41
CREB5,65,23,96,91,148,93
CREBBP,0,23,126,125,103,238
CREBL2,0,0,29,15,33,42
CREBRF,35,74,90,129,74,89
CREBZF,41,45,59,20,79,87
CREG1,0,20,12,9,4,38
CREG2,20,0,32,46,40,50
CRELD1,18,10,20,8,6,53
CRELD2,0,40,3,28,2,38
CREM,49,32,69,71,65,74
CRH,0,0,4,1,3,6
CRHBP,0,5,7,11,3,19
CRHR1,0,0,0,0,0,5
CRHR1_1,0,0,1,0,0,0
CRHR2,4,0,46,12,19,44
CRIM1,185,142,62,42,61,69
CRIM1_1,0,1,0,0,0,0
CRIP1,0,0,0,49,0,1
CRIP2,0,1,0,4,0,0
CRIP3,0,0,10,0,6,25
CRIPT,9,59,73,80,110,61
CRISP1,0,22,17,15,25,23
CRISP2,0,0,8,1,5,3
CRISP3,0,0,4,0,4,16
CRISPLD1,7,21,23,14,31,30
CRISPLD2,3,28,58,67,63,63
CRK,80,256,56,785,70,59
CRKL,73,9,51,52,58,92
CRLF1,20,46,19,4,18,29
CRLF2_1,1,1,1,0,3,3
CRLF3,49,43,15,31,23,31
CRLS1,0,39,38,43,19,33
CRMP1,0,38,53,55,70,45
CRNDE,12,0,6,4,6,21
CRNKL1,7,55,66,35,58,46
CRNN,0,0,12,0,8,14
CROCC,68,18,148,129,85,154
CROCC2,5,7,10,19,2,62
CROCCP2,0,1,41,58,20,100
CROCCP3,25,67,73,47,40,80
CROT,0,26,23,55,19,28
CRP,0,22,13,18,15,15
CRPPA,0,79,37,21,63,67
CRPPA-AS1,14,0,15,7,19,10
CRSP8P,0,0,7,9,1,2
CRTAC1,0,12,51,1,7,24
CRTAM,11,6,20,6,41,23
CRTAP,56,89,66,284,59,122
CRTC1,68,1,39,61,17,106
CRTC2,0,17,38,23,8,40
CRTC3,23,5,45,35,10,57
CRTC3-AS1,0,0,10,7,2,4
CRX,51,43,78,40,81,80
CRY1,12,30,36,9,42,26
CRY2,0,0,15,8,9,39
CRYAA,786,208,56,147,19,33
CRYAB_1,7,6,0,0,1,3
CRYBA1,0,0,11,10,6,8
CRYBA2,0,0,5,2,0,13
CRYBA4,0,10,34,8,7,46
CRYBB1,0,0,57,11,14,57
CRYBB2,314,71,37,24,5,31
CRYBB2P1,34,3,33,22,16,34
CRYBB3,0,0,11,8,3,27
CRYBG1,27,30,30,34,29,65
CRYBG2,44,10,41,33,26,74
CRYBG3,26,39,42,31,57,48
CRYGA,0,18,12,0,27,22
CRYGB,0,0,3,0,15,12
CRYGC,0,0,9,0,2,2
CRYGD,0,3,0,19,2,9
CRYGN,0,8,8,7,16,19
CRYGS,29,32,9,18,2,6
CRYL1,0,5,11,0,20,24
CRYM,0,23,27,0,19,31
CRYM-AS1,73,21,30,24,30,26
CRYZ,0,0,9,37,18,19
CRYZL1,0,6,16,13,34,34
CRYZL2P,34,0,0,0,5,14
CRYZL2P-SEC16B,0,0,0,0,5,0
CS,27,0,32,18,18,41
CSAD,2,41,115,48,52,76
CSAG1_1,0,0,0,0,0,5
CSAG3,0,0,0,0,0,1
CSDC2,13,3,45,9,6,40
CSDE1,24,88,61,61,55,168
CSE1L,52,26,87,38,101,86
CSE1L-AS1,0,0,6,7,6,14
CSF1,53,0,35,50,4,40
CSF1R,60,0,66,45,32,71
CSF2,0,0,7,7,2,12
CSF2RA,0,0,0,0,3,2
CSF2RA_1,5,0,3,3,6,5
CSF2RB,2,0,17,2,12,42
CSF3,22,0,16,1,1,33
CSF3R,0,34,32,49,10,68
CSGALNACT1,101,4,103,21,75,72
CSGALNACT2,34,39,10,8,7,37
CSH1,0,0,2,0,0,4
CSH2,0,0,16,1,2,22
CSHL1,0,0,6,0,0,5
CSK,9,28,60,85,69,108
CSKMT,0,28,6,0,12,6
CSMD1,131,120,126,105,196,163
CSMD2,166,54,213,116,144,292
CSMD2-AS1,0,0,4,0,0,17
CSMD3,110,117,83,97,81,63
CSN1S1,93,21,3,3,4,8
CSN1S2AP,0,0,9,14,6,5
CSN1S2BP,30,59,17,7,35,23
CSN2,0,9,22,7,14,10
CSN3,0,0,2,2,6,10
CSNK1A1,38,153,93,378,150,147
CSNK1A1L,0,0,2,4,1,11
CSNK1A1P1,0,0,3,2,10,13
CSNK1D,40,42,14,22,7,53
CSNK1E,0,0,9,2,1,11
CSNK1G1,67,144,40,116,99,63
CSNK1G2,34,5,28,29,13,26
CSNK1G2-AS1,15,16,10,3,3,12
CSNK1G3,56,46,57,68,71,45
CSNK2A1,117,76,105,45,127,102
CSNK2A2,33,0,14,1,20,28
CSNK2A3,0,0,0,9,15,17
CSNK2B_4,0,0,0,6,0,0
CSNK2B_6,1,0,0,0,0,0
CSNKA2IP,72,9,8,5,10,14
CSPG4,57,14,8,74,3,23
CSPG5,8,0,15,12,13,17
CSPP1,22,108,72,243,127,128
CSRNP1,42,10,18,24,38,59
CSRNP2,0,25,50,24,39,56
CSRNP3,17,5,15,20,30,22
CSRP1,0,76,0,126,14,25
CSRP2,62,28,15,10,29,25
CSRP3,0,0,4,0,1,4
CST1,0,12,12,0,1,4
CST11,0,0,10,8,16,5
CST13P,0,0,0,0,0,9
CST2,0,0,6,1,0,19
CST3,10,151,34,1217,34,33
CST4,0,0,8,16,5,17
CST5,0,0,0,1,0,14
CST6,0,0,1,0,2,12
CST7,0,0,1,8,0,7
CST8,0,0,10,16,6,7
CST9,15,9,10,11,0,19
CST9L,0,0,10,7,3,8
CSTA,22,0,4,3,1,7
CSTB,0,0,3,15,6,1
CSTF1,19,47,45,28,69,36
CSTF2,0,9,36,20,53,26
CSTF2T,0,7,39,36,49,29
CSTF3,1,10,46,38,37,33
CSTF3-DT,0,0,40,5,28,22
CSTL1,0,0,22,0,16,20
CT45A1,1,0,0,4,11,3
CT45A1_1,10,2,0,12,3,4
CT45A10,5,0,4,4,1,3
CT45A10_1,0,0,1,13,0,5
CT45A3,2,1,10,1,10,3
CT45A3_1,0,0,0,2,2,0
CT45A5,0,0,2,0,5,2
CT45A5_1,0,0,0,1,4,0
CT45A6,0,0,1,0,0,3
CT45A8,0,1,1,0,1,0
CT45A9,0,0,4,0,4,1
CT47A7,0,0,0,0,1,0
CT47B1,0,4,8,21,9,21
CT55_1,0,0,1,1,3,0
CT62,0,0,15,8,3,3
CT66,0,0,7,0,7,8
CT69,0,4,20,21,48,33
CT75,0,50,36,47,17,29
CTAG2,0,0,0,0,0,5
CTAG2_1,0,0,0,0,0,2
CTAGE1,8,1,10,8,10,4
CTAGE10P,0,0,3,10,1,1
CTAGE11P,0,0,6,5,11,8
CTAGE15,0,0,4,2,0,5
CTAGE4,0,0,1,0,1,4
CTAGE6,0,0,3,0,0,0
CTAGE7P,57,0,1,0,0,2
CTAGE8,24,0,5,1,0,3
CTAGE9,48,0,4,2,3,13
CTB-178M22.2,23,0,0,3,5,10
CTBP1,0,2,11,42,17,49
CTBP1-AS,0,0,20,9,28,20
CTBP1-DT,19,0,7,11,0,6
CTBP2,0,224,44,215,36,50
CTBS,60,24,40,21,40,24
CTC1,0,4,112,79,60,79
CTC-338M12.4,0,0,1,12,2,7
CTCF,30,17,58,67,83,70
CTCFL,14,61,64,50,96,45
